id,name,mission,logoURL,baseLocations,x,discord,application,tags
satoshi-island,Satoshi Island,Building a crypto community in Vanuatu,satoshi-island.png,"Vanuatu,Global",https://x.com/satoshiisland,https://discord.gg/satoshiisland,https://satoshi-island.com/citizenship,Geographic
citydao,CityDAO,Building a blockchain-native city,citydao.png,"USA,Canada,Global",https://x.com/CityDAO,https://discord.gg/B9YbPNwcD3,,Virtual
don-t-die,Don't Die,"To defeat all causes of human and planetary death, promoting prosperity and longevity.",don-t-die.png,"USA,Global",https://x.com/bryan_johnson,https://discord.gg/bryanjohnson,https://dontdie.bryanjohnson.com/,Ideological
rns-id,RNS.ID,Digital identity backed by the sovereign state of Palau,rns-id.png,"Palau,Global",https://x.com/RNS_global,https://discord.gg/rns,https://rns.id/,Geographic
pangea,Pangea,"To build a virtual nation governed online, enabling secure, borderless interactions, and decentralized governance.",pangea.png,"Netherlands,Global",https://x.com/pangeaweb4,https://discord.gg/8zDf8AF3ja,https://pangea.web4.world/united-citizens-wallet,Virtual
praxis,Praxis,Building a new city that enables us to live more vital lives,praxis.png,"Global,USA,Canada,Europe",https://x.com/PraxisSociety,https://discord.gg/praxis,https://www.praxissociety.com/apply,Geographic
logos,Logos,"To create a self-sovereign, privacy-preserving, decentralized network state",logos.png,Global,https://x.com/logos_network,https://discord.gg/logosnetwork,https://logos.co/participate,Virtual
cabin,Cabin,Building a decentralized city for creators,cabin.png,"USA,Canada,Global",https://x.com/creatorcabins,https://discord.com/invite/ttgRU7QKVE,https://discord.com/invite/ttgRU7QKVE,Hybrid
nation3,Nation3,Building a web 3 solarpunk society,nation3.png,Global,https://x.com/Nation3DAO,https://discordapp.page.link/?link=https%3A%2F%2Fdiscord.gg%2Fnation3-690584551239581708%3FattemptId%3D4ca25c48-3fdb-4889-a033-d50f277262f9&apn=com.discord&isi=985746746&ibi=com.hammerandchisel.discord&sd=Your%20place%20to%20talk%20with%20communities%20and%20friends.&efr=1,https://app.nation3.org/,Virtual
punk-armada,PUNK Armada,Establish a global voluntary citizenry.,punk-armada.png,Global,https://x.com/4762Ecosystem,https://t.co/JFJQsBXnxL,https://cryptopunk4762.com/contact-us,Virtual
kong-land,KONG Land,"To establish a decentralized, blockchain-based ecosystem that facilitates digital identity, authentication, and transaction verification.",kong-land.png,Global,https://x.com/kongiscash,https://discord.gg/dypeg4JfTX,https://app.uniswap.org/swap?exactField=output&exactAmount=1&outputCurrency=0x77F0cc420dEa0aE726Db6Bef1460A4B69176A8Ea&chain=mainnet,Virtual
shegby,Shegby,To revolutionize identity verification and proof of personhood solutions within the Web3 ecosystem.,shegby.png,Global,,https://discord.gg/8XPMj7hTxX,https://shegby.com/,Virtual
spectra,Spectra,"To create sustainable, human-centered, and technologically progressive urbanization by combining physical placemaking and virtual world-building.",spectra.png,"Puerto Rico,Global",https://x.com/spectracities,https://discord.gg/V7fg7h47sR,https://www.spectracities.com/,Hybrid
figment,Figment,Building a club in the metaverse,figment.png,Singapore,https://x.com/livefigment,https://discord.gg/PFvN2rFwbr,https://www.figment.live/,
kift,Kift,Building a vanlife community,kift.png,"USA,Canada,Global",https://x.com/kiftlife,https://discord.gg/tSKesnsPWu,https://www.kift.com/membership,Hybrid
ipe-city,Ipê City,Build network societies as a community of techno-optimists.,ipe-city.png,"Brazil,Global",https://x.com/ipecity,https://discord.gg/QKwh8deMPx,https://docs.google.com/forms/d/e/1FAIpQLSfvWxhzOXadlutDYnz1Kzkmi4NlCofVFXVXBLI4b_YZDyZtqg/viewform,Pop-Up City
union-x-city,Union X City,To build a human-first city operating system leveraging frontier tech,union-x-city.png,Canada,https://x.com/unionxcity?s=21 ,https://discord.gg/unionxcity,http://land.unionx.city/ ,Geographical
zeta-house,Zeta House,Zeta House is a dynamic coliving and coworkingcommunity in Austin Texas,zeta-house.png,USA,,https://discord.gg/uyPSXfNSyB d,https://zeta.house/apply,Geographic
proof-of-humanity,Proof of Humanity,Building decentralized democracy using social verification,proof-of-humanity.png,Global,https://x.com/pohdao,https://discord.gg/eQGnF6aW6p,https://www.proofofhumanity.org/,Virtual
afropolitan,Afropolitan,Building a pan-African digital nation,afropolitan.png,"Africa,Brazil,USA",https://x.com/afropolitan,https://discord.gg/NhJctu3m,https://2diidsvpe0l.typeform.com/to/FxdsdaMB?typeform-source=t.co,Hybrid
jur,Jur,Creating an efficient jurisdiction for the digital economy,jur.png,Global,https://x.com/JurProject,https://go.jur.io/discordWeb,https://jur.io/citizenshipNFT,Virtual
w3st,W3ST,Building a solarpunk society,w3st.png,Global,https://x.com/w3stdao,https://discord.com/invite/enYQtPpnh3,https://en.w3st.xyz/#ciudadania-block2,Hybrid
porta-norte,Porta Norte,Building a European town integrated with nature,porta-norte.png,"Global,Europe",https://x.com/portanortepa?lang=en,,https://docs.google.com/forms/d/e/1FAIpQLSdz0PeGE7lMo3q97xDuahbON1HQhTyaGMch21svpi54CXcZFg/viewform,Geographic
city-of-telosa,City of Telosa,Creating an economic system in which citizens have a stake in the city’s land,city-of-telosa.png,"USA,Canada,Global",https://x.com/CityofTelosa,,https://cityoftelosa.com/contact-us/,Hybrid
oceanix,Oceanix,"Creating new land for the coastal city of Busan, Korea",oceanix.png,"Global,USA,Canada",https://x.com/OceanixCity,,https://oceanixcity.com/contact-us/,Ideological
plumia,Plumia,Building a borderless society for digital nomads,plumia.png,"Morocco,Global",https://x.com/PlumiaCountry,,https://plumia.org/get-involved/,Virtual
itana-by-talent-cities,Itana by Talent Cities,Building a remote-work-friendly city in Nigeria's Lekki Free Zone,itana-by-talent-cities.png,"Africa,Nigeria,Global",https://x.com/itanaafrica,,https://talentcity.typeform.com/to/n3srztt2,Geographic
culdesac,Culdesac,Building a car-free neighborhood,culdesac.png,"USA,Canada,Global",https://x.com/culdesac,,https://culdesac.com/join-us/,Geographic
eleutheria,Eleutheria,"Establish a free nation with limited government, free markets, and Judeo-Christian values, in Bir Tawil or by seasteading",eleutheria.png,"Egypt,Sudan,USA",https://x.com/real_eleutheria,,https://www.newnationproject.org/,Ideological
draper-nation,Draper Nation,"Create a digital nation, citizen-governed, with freedom of movement and a seamless, borderless life.",draper-nation.png,Global,https://x.com/DraperNationHQ,,https://app.drapernation.com/,Virtual
infinita,Infinita,To accelerate life extension technologies through a decentralized city model.,infinita.png,Honduras,https://x.com/InfinitaCity,,https://lu.ma/infinita-roatan-2025?tk=QuY3dV,Hybrid
